upc,price,quantity,internal_id,department,name,properties,tags
856011004151,3.21,.00000000,,LIQUOR,Ole Smoky 50ml Moonshine,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}","['duplicate_sku', 'high_margin']"
856011004151,3.21,.00000000,,LIQUOR,Ole Smoky 50ml Moonshine,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}","['duplicate_sku', 'high_margin']"
856592006032,23.53,.00000000,,LIQUOR,Wolf Spirit Vodka Blood Sweat Tears,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
856724006015,56.7,.00000000,,LIQUOR,Anejo Casamigos,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
856724006213,53.49,.00000000,,LIQUOR,Reposado Casamigos,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
856724006329,58.84,.00000000,,LIQUOR,Casamigos Mezcal Casamigos,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
857660004622,13.9,.00000000,,WINE,Luna Di Luna 1.5ml Pinot Grigio,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
858749003093,11.76,.00000000,,WINE,Poggio Chianti Argentale,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
859199003220,13.9,.00000000,,BEER,BRose Citizen Cider,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
859660007061,14.97,.00000000,,BEER,1 North haze Ipa 1 North,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
859708002171,13.9,.00000000,,BEER,Destihl Synchopathic 6 x 12oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
859708002553,16.04,.00000000,,BEER,Extended IPA Destihl,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
860001867213,14.22,.00000000,,BEER,Hibiscus Pom Lover Boy,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
